Area;Year;Rate
United States;1992;7,5
Alabama;1992;7,6
Alaska;1992;8,9
Arizona;1992;7,5
Arkansas;1992;7,1
California;1992;9,3
Colorado;1992;6,0
Connecticut;1992;7,6
Delaware;1992;5,4
District of Columbia;1992;8,6
Florida;1992;8,2
Georgia;1992;6,9
Hawaii;1992;4,3
Idaho;1992;6,4
Illinois;1992;7,9
Indiana;1992;6,6
Iowa;1992;4,5
Kansas;1992;4,5
Kentucky;1992;6,9
Louisiana;1992;8,0
Maine;1992;7,3
Maryland;1992;6,8
Massachusetts;1992;8,5
Michigan;1992;9,0
Minnesota;1992;5,1
Mississippi;1992;8,1
Missouri;1992;6,2
Montana;1992;6,7
Nebraska;1992;2,9
Nevada;1992;6,7
New Hampshire;1992;7,3
New Jersey;1992;8,4
New Mexico;1992;7,2
New York;1992;8,6
North Carolina;1992;6,0
North Dakota;1992;4,7
Ohio;1992;7,4
Oklahoma;1992;6,0
Oregon;1992;7,4
Pennsylvania;1992;7,6
Rhode Island;1992;8,9
South Carolina;1992;6,7
South Dakota;1992;3,3
Tennessee;1992;6,5
Texas;1992;7,6
Utah;1992;4,8
Vermont;1992;6,1
Virginia;1992;6,3
Washington;1992;7,3
West Virginia;1992;11,3
Wisconsin;1992;5,1
Wyoming;1992;5,6
United States;1993;6,9
Alabama;1993;7,3
Alaska;1993;7,7
Arizona;1993;6,4
Arkansas;1993;6,1
California;1993;9,5
Colorado;1993;5,3
Connecticut;1993;6,6
Delaware;1993;5,1
District of Columbia;1993;8,5
Florida;1993;7,1
Georgia;1993;6,0
Hawaii;1993;4,5
Idaho;1993;6,0
Illinois;1993;7,4
Indiana;1993;5,4
Iowa;1993;4,0
Kansas;1993;5,0
Kentucky;1993;6,2
Louisiana;1993;7,6
Maine;1993;7,3
Maryland;1993;6,2
Massachusetts;1993;7,0
Michigan;1993;7,2
Minnesota;1993;5,0
Mississippi;1993;6,6
Missouri;1993;6,2
Montana;1993;6,0
Nebraska;1993;2,8
Nevada;1993;6,8
New Hampshire;1993;6,1
New Jersey;1993;7,6
New Mexico;1993;7,0
New York;1993;7,9
North Carolina;1993;5,0
North Dakota;1993;4,3
Ohio;1993;6,6
Oklahoma;1993;5,9
Oregon;1993;7,0
Pennsylvania;1993;7,0
Rhode Island;1993;7,7
South Carolina;1993;7,3
South Dakota;1993;3,4
Tennessee;1993;5,8
Texas;1993;7,2
Utah;1993;4,1
Vermont;1993;5,2
Virginia;1993;5,2
Washington;1993;7,3
West Virginia;1993;10,6
Wisconsin;1993;4,8
Wyoming;1993;5,3
United States;1994;6,1
Alabama;1994;6,2
Alaska;1994;7,6
Arizona;1994;6,1
Arkansas;1994;5,4
California;1994;8,6
Colorado;1994;4,2
Connecticut;1994;5,6
Delaware;1994;4,8
District of Columbia;1994;8,0
Florida;1994;6,4
Georgia;1994;5,2
Hawaii;1994;5,5
Idaho;1994;5,4
Illinois;1994;5,8
Indiana;1994;4,9
Iowa;1994;3,5
Kansas;1994;4,9
Kentucky;1994;5,4
Louisiana;1994;7,8
Maine;1994;7,0
Maryland;1994;5,3
Massachusetts;1994;6,0
Michigan;1994;6,0
Minnesota;1994;4,1
Mississippi;1994;6,3
Missouri;1994;5,1
Montana;1994;5,2
Nebraska;1994;2,6
Nevada;1994;6,2
New Hampshire;1994;4,7
New Jersey;1994;6,8
New Mexico;1994;6,5
New York;1994;6,9
North Carolina;1994;4,4
North Dakota;1994;3,7
Ohio;1994;5,6
Oklahoma;1994;5,6
Oregon;1994;5,4
Pennsylvania;1994;6,3
Rhode Island;1994;6,9
South Carolina;1994;6,2
South Dakota;1994;3,3
Tennessee;1994;4,8
Texas;1994;6,5
Utah;1994;3,8
Vermont;1994;4,6
Virginia;1994;4,9
Washington;1994;6,6
West Virginia;1994;8,8
Wisconsin;1994;4,5
Wyoming;1994;5,0
United States;1995;5,6
Alabama;1995;6,0
Alaska;1995;7,3
Arizona;1995;5,3
Arkansas;1995;4,8
California;1995;7,9
Colorado;1995;4,0
Connecticut;1995;5,5
Delaware;1995;4,3
District of Columbia;1995;8,8
Florida;1995;5,5
Georgia;1995;4,8
Hawaii;1995;5,9
Idaho;1995;5,4
Illinois;1995;5,2
Indiana;1995;4,6
Iowa;1995;3,4
Kansas;1995;4,4
Kentucky;1995;5,4
Louisiana;1995;7,0
Maine;1995;6,0
Maryland;1995;5,0
Massachusetts;1995;5,3
Michigan;1995;5,3
Minnesota;1995;3,7
Mississippi;1995;6,2
Missouri;1995;4,7
Montana;1995;5,7
Nebraska;1995;2,6
Nevada;1995;5,6
New Hampshire;1995;4,0
New Jersey;1995;6,4
New Mexico;1995;6,6
New York;1995;6,3
North Carolina;1995;4,3
North Dakota;1995;3,2
Ohio;1995;4,8
Oklahoma;1995;4,6
Oregon;1995;4,9
Pennsylvania;1995;5,9
Rhode Island;1995;6,3
South Carolina;1995;5,2
South Dakota;1995;3,0
Tennessee;1995;5,2
Texas;1995;6,1
Utah;1995;3,5
Vermont;1995;4,3
Virginia;1995;4,5
Washington;1995;6,4
West Virginia;1995;7,9
Wisconsin;1995;3,8
Wyoming;1995;4,8
United States;1996;5,4
Alabama;1996;5,2
Alaska;1996;7,6
Arizona;1996;5,6
Arkansas;1996;5,3
California;1996;7,3
Colorado;1996;4,2
Connecticut;1996;5,5
Delaware;1996;5,1
District of Columbia;1996;8,4
Florida;1996;5,2
Georgia;1996;4,7
Hawaii;1996;6,3
Idaho;1996;5,3
Illinois;1996;5,3
Indiana;1996;4,1
Iowa;1996;3,5
Kansas;1996;4,3
Kentucky;1996;5,5
Louisiana;1996;6,6
Maine;1996;5,2
Maryland;1996;5,0
Massachusetts;1996;4,4
Michigan;1996;4,9
Minnesota;1996;4,0
Mississippi;1996;6,0
Missouri;1996;4,8
Montana;1996;5,3
Nebraska;1996;2,7
Nevada;1996;5,0
New Hampshire;1996;3,8
New Jersey;1996;6,1
New Mexico;1996;7,2
New York;1996;6,2
North Carolina;1996;4,3
North Dakota;1996;2,9
Ohio;1996;5,0
Oklahoma;1996;4,1
Oregon;1996;5,7
Pennsylvania;1996;5,4
Rhode Island;1996;5,4
South Carolina;1996;5,8
South Dakota;1996;3,2
Tennessee;1996;5,2
Texas;1996;5,7
Utah;1996;3,4
Vermont;1996;4,3
Virginia;1996;4,4
Washington;1996;6,1
West Virginia;1996;7,5
Wisconsin;1996;3,6
Wyoming;1996;4,9
United States;1997;4,9
Alabama;1997;5,0
Alaska;1997;7,1
Arizona;1997;4,6
Arkansas;1997;5,2
California;1997;6,4
Colorado;1997;3,5
Connecticut;1997;5,0
Delaware;1997;4,0
District of Columbia;1997;8,0
Florida;1997;4,8
Georgia;1997;4,6
Hawaii;1997;6,2
Idaho;1997;5,1
Illinois;1997;4,8
Indiana;1997;3,5
Iowa;1997;3,1
Kansas;1997;3,8
Kentucky;1997;5,3
Louisiana;1997;6,0
Maine;1997;5,1
Maryland;1997;5,0
Massachusetts;1997;3,9
Michigan;1997;4,3
Minnesota;1997;3,3
Mississippi;1997;5,7
Missouri;1997;4,3
Montana;1997;5,3
Nebraska;1997;2,5
Nevada;1997;4,4
New Hampshire;1997;3,3
New Jersey;1997;5,3
New Mexico;1997;6,3
New York;1997;6,4
North Carolina;1997;3,7
North Dakota;1997;2,7
Ohio;1997;4,6
Oklahoma;1997;4,1
Oregon;1997;5,7
Pennsylvania;1997;5,1
Rhode Island;1997;5,1
South Carolina;1997;4,6
South Dakota;1997;2,9
Tennessee;1997;5,3
Texas;1997;5,3
Utah;1997;3,2
Vermont;1997;3,9
Virginia;1997;3,8
Washington;1997;4,9
West Virginia;1997;6,9
Wisconsin;1997;3,6
Wyoming;1997;4,8
United States;1998;4,5
Alabama;1998;4,4
Alaska;1998;6,3
Arizona;1998;4,3
Arkansas;1998;5,2
California;1998;5,9
Colorado;1998;3,6
Connecticut;1998;3,4
Delaware;1998;3,7
District of Columbia;1998;8,4
Florida;1998;4,3
Georgia;1998;4,3
Hawaii;1998;6,1
Idaho;1998;5,1
Illinois;1998;4,4
Indiana;1998;3,1
Iowa;1998;2,7
Kansas;1998;3,5
Kentucky;1998;4,6
Louisiana;1998;5,7
Maine;1998;4,5
Maryland;1998;4,4
Massachusetts;1998;3,3
Michigan;1998;3,9
Minnesota;1998;2,7
Mississippi;1998;5,3
Missouri;1998;4,2
Montana;1998;5,5
Nebraska;1998;2,6
Nevada;1998;4,2
New Hampshire;1998;2,8
New Jersey;1998;4,6
New Mexico;1998;6,1
New York;1998;5,6
North Carolina;1998;3,5
North Dakota;1998;2,9
Ohio;1998;4,3
Oklahoma;1998;4,3
Oregon;1998;5,7
Pennsylvania;1998;4,6
Rhode Island;1998;4,6
South Carolina;1998;3,8
South Dakota;1998;2,8
Tennessee;1998;4,3
Texas;1998;4,9
Utah;1998;3,6
Vermont;1998;3,4
Virginia;1998;2,9
Washington;1998;4,8
West Virginia;1998;6,6
Wisconsin;1998;3,4
Wyoming;1998;4,7
United States;1999;4,2
Alabama;1999;4,7
Alaska;1999;6,5
Arizona;1999;4,4
Arkansas;1999;4,6
California;1999;5,2
Colorado;1999;3,1
Connecticut;1999;2,9
Delaware;1999;3,4
District of Columbia;1999;6,4
Florida;1999;3,9
Georgia;1999;3,9
Hawaii;1999;5,4
Idaho;1999;4,9
Illinois;1999;4,4
Indiana;1999;3,0
Iowa;1999;2,6
Kansas;1999;3,3
Kentucky;1999;4,5
Louisiana;1999;5,1
Maine;1999;4,0
Maryland;1999;3,6
Massachusetts;1999;3,2
Michigan;1999;3,7
Minnesota;1999;2,8
Mississippi;1999;5,1
Missouri;1999;3,3
Montana;1999;5,3
Nebraska;1999;2,8
Nevada;1999;4,0
New Hampshire;1999;2,7
New Jersey;1999;4,5
New Mexico;1999;5,6
New York;1999;5,2
North Carolina;1999;3,2
North Dakota;1999;3,3
Ohio;1999;4,3
Oklahoma;1999;3,5
Oregon;1999;5,5
Pennsylvania;1999;4,4
Rhode Island;1999;4,2
South Carolina;1999;4,3
South Dakota;1999;2,7
Tennessee;1999;4,0
Texas;1999;4,7
Utah;1999;3,5
Vermont;1999;3,0
Virginia;1999;2,7
Washington;1999;4,9
West Virginia;1999;6,5
Wisconsin;1999;3,1
Wyoming;1999;4,6
United States;2000;4,0
Alabama;2000;4,6
Alaska;2000;6,4
Arizona;2000;4,0
Arkansas;2000;4,3
California;2000;4,9
Colorado;2000;2,8
Connecticut;2000;2,4
Delaware;2000;3,7
District of Columbia;2000;5,6
Florida;2000;3,7
Georgia;2000;3,6
Hawaii;2000;4,2
Idaho;2000;4,7
Illinois;2000;4,3
Indiana;2000;3,1
Iowa;2000;2,6
Kansas;2000;3,6
Kentucky;2000;4,2
Louisiana;2000;5,3
Maine;2000;3,4
Maryland;2000;3,6
Massachusetts;2000;2,7
Michigan;2000;3,6
Minnesota;2000;3,2
Mississippi;2000;5,4
Missouri;2000;3,6
Montana;2000;5,0
Nebraska;2000;2,8
Nevada;2000;4,2
New Hampshire;2000;2,7
New Jersey;2000;3,7
New Mexico;2000;4,9
New York;2000;4,5
North Carolina;2000;3,7
North Dakota;2000;3,0
Ohio;2000;4,0
Oklahoma;2000;3,0
Oregon;2000;5,1
Pennsylvania;2000;4,1
Rhode Island;2000;4,1
South Carolina;2000;3,8
South Dakota;2000;2,5
Tennessee;2000;3,9
Texas;2000;4,3
Utah;2000;3,3
Vermont;2000;2,8
Virginia;2000;2,3
Washington;2000;5,2
West Virginia;2000;5,5
Wisconsin;2000;3,5
Wyoming;2000;3,9
United States;2001;4,7
Alabama;2001;5,1
Alaska;2001;6,4
Arizona;2001;4,8
Arkansas;2001;5,0
